sample	dataset	organism	day	original.annotation	new.identity
MFI142_sc68	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc70	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc74	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc76	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc78	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc79	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc80	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc81	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI142_sc82	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc83	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc84	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc86	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc87	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc88	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc89	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc90	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc91	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc92	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc93	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc94	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L1
MFI142_sc95	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc96	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc03	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc07	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc11	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI143_sc13	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc19	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc27	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc29	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc38	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc40	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc48	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI143_sc51	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI143_sc58	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI143_sc68	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc76	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI143_sc79	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI143_sc87	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI143_sc95	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI144_sc01	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI144_sc02	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc04	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc06	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc07	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc08	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc09	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc10	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc11	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc15	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc16	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc17	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI144_sc19	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc20	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc21	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L3
MFI144_sc24	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI144_sc25	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc26	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc28	Ma	Cynomolgus.macaque	14	VE/YE	cyPrE
MFI144_sc30	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI144_sc31	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc32	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc33	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc36	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc37	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc38	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc39	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc40	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc42	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc44	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc45	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc46	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc47	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc48	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc50	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc52	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc53	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc56	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc57	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc58	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc59	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc60	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc61	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L3
MFI144_sc62	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc63	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI144_sc65	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc66	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc67	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc68	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc71	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc72	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc73	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc74	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc76	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc77	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc78	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc80	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc81	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc82	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc83	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc85	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc86	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc87	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI144_sc88	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc90	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc91	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI144_sc92	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc93	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc94	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI144_sc95	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI161_sc03	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc04	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc07	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc10	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc12	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI161_sc13	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc14	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc15	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc16	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc17	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc19	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc21	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc22	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc24	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc25	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc27	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc28	Ma	Cynomolgus.macaque	16	TE	cyCTB
MFI161_sc29	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc32	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc35	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc37	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc38	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc40	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc42	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc43	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc44	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc46	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc47	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc48	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI161_sc49	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc50	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc52	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc53	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc56	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc57	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc58	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc60	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc62	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI161_sc65	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc66	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc68	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc69	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc70	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI161_sc74	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI161_sc75	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI161_sc77	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc78	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc79	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI161_sc80	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc81	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc82	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI161_sc85	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI161_sc87	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc90	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc91	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc92	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc94	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI161_sc95	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc01	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc06	Ma	Cynomolgus.macaque	16	TE	cyCTB
MFI162_sc07	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc08	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc09	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc12	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc14	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc18	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc25	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc28	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc29	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI162_sc30	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc31	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc32	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc33	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc36	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc38	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc44	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc45	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc46	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc47	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc50	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc51	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc52	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc53	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc54	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc55	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc56	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc57	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc60	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc61	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc64	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc65	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI162_sc68	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI162_sc73	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI162_sc74	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc75	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc76	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc77	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI162_sc79	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc80	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc83	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc84	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc85	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI162_sc86	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc87	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc89	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc90	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI162_sc92	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI162_sc93	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI162_sc95	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc01	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc03	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc04	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc06	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc07	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc08	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc10	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc11	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc12	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI163_sc17	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc20	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc21	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc22	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc26	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc28	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc31	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI163_sc33	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI163_sc35	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc36	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc38	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc39	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc41	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc42	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI163_sc44	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc46	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc49	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc50	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc51	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc52	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc54	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc55	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc56	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc57	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc62	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc63	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc64	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc66	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI163_sc67	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc71	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc77	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc79	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI163_sc80	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc84	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI163_sc87	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc88	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc89	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI163_sc91	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc93	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI163_sc94	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI164_sc01	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc08	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI164_sc09	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI164_sc20	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI164_sc21	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc25	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc27	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc28	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc31	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI164_sc32	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc40	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI164_sc41	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI164_sc44	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc45	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc46	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc48	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc50	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc53	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc59	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc60	Ma	Cynomolgus.macaque	16	L-AM1	cyAME.L2
MFI164_sc62	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc63	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L2
MFI164_sc73	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc74	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc75	Ma	Cynomolgus.macaque	16	L-AM2	cyAME.L3
MFI164_sc78	Ma	Cynomolgus.macaque	16	L-Gast1	cyGast2
MFI164_sc80	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc81	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc84	Ma	Cynomolgus.macaque	16	VE/YE	cyPrE
MFI164_sc85	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI164_sc86	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI164_sc87	Ma	Cynomolgus.macaque	16	L-Gast2	cyGast3
MFI164_sc92	Ma	Cynomolgus.macaque	16	postL-EPI	cyPostEPI-L3
MFI171_sc13	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI171_sc20	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI171_sc25	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI171_sc28	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc30	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc32	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI171_sc33	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc38	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc41	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc44	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI171_sc54	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc55	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI171_sc68	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc69	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI171_sc75	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc76	Ma	Cynomolgus.macaque	17	L-AM1	cyAME.L2
MFI171_sc77	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc79	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc81	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc84	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI171_sc88	Ma	Cynomolgus.macaque	17	L-AM1	cyAME.L2
MFI171_sc89	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L3
MFI171_sc90	Ma	Cynomolgus.macaque	17	TE	cyCTB
MFI171_sc92	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI171_sc95	Ma	Cynomolgus.macaque	17	L-AM2	cyAME.L3
MFI172_sc10	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc12	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc13	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI172_sc17	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI172_sc19	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc20	Ma	Cynomolgus.macaque	17	TE	cyEVT
MFI172_sc21	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
MFI172_sc24	Ma	Cynomolgus.macaque	17	VE/YE	cyPrE
MFI172_sc29	Ma	Cynomolgus.macaque	17	postL-EPI	cyPostEPI-L4
